ts_code,trade_date,open,high,low,close,vol,amount,total_mv,market_cap,year_month,monthly_return,market_cap_group
600018.SH,20190131,29.708117907603995,30.61229230872602,27.569922977951315,29.08126683503485,4902557,142572568.29096794,5000000,500.0,201901,0.0,4
600018.SH,20190228,30.890589665157428,31.987388682311085,30.256056471040218,31.458830298605136,2869228,90262556.74000622,5000000,500.0,201902,0.0817558422422637,4
600018.SH,20190329,33.75710894127082,33.98834300871552,32.95018521509002,33.791494820353606,3137512,106021220.49679728,5000000,500.0,201903,0.0741497538086117,4
600018.SH,20190430,31.77753668028813,31.878454741497208,30.07420696599138,31.67803443358425,4894304,155041930.64042914,5000000,500.0,201904,-0.0625441519531817,4
600018.SH,20190531,34.08895012822286,34.568786886597024,33.64008064189532,33.75687392122833,3174637,107165820.95466655,5000000,500.0,201905,0.0656240049237444,4
600018.SH,20190628,29.981179080365493,31.598522332389354,28.700803614796698,30.037018977595203,5290144,158900155.7222114,5000000,500.0,201906,-0.1101954805505217,4
600018.SH,20190731,31.042978924187835,31.81433606177657,29.817882375399204,30.72671865080041,4663350,143289443.4202101,5000000,500.0,201907,0.0229616552068518,4
600018.SH,20190830,31.639186794122708,32.07439705274686,31.440796749294645,31.82526937464325,3168364,100834037.77692218,5000000,500.0,201908,0.0357522954640072,4
600018.SH,20190930,31.87506395143264,32.22755939030914,30.58088901103159,32.15003429280188,5368092,172584341.88691542,5000000,500.0,201909,0.0102046243296649,4
600018.SH,20191031,33.59866507451544,35.51739466577467,31.72148901384965,33.65551259726714,6511737,219155846.63359052,5000000,500.0,201910,0.0468266469252982,4
600018.SH,20191129,32.290923094348855,32.51733600374516,30.746711297848545,32.32914678285401,4295443,138868007.24438277,5000000,500.0,201911,-0.039410061296194,4
600018.SH,20191231,34.56846737089158,34.88366691754804,34.06144558592863,34.71868594803827,2953635,102546325.97013402,5000000,500.0,201912,0.0739128434546738,4
600018.SH,20200131,36.25125272478106,37.92429644245012,34.153142094456776,35.95962395692397,6016431,216348596.32278004,5000000,500.0,202001,0.035742654855744,4
600018.SH,20200228,41.32679304124486,42.34665986311227,40.16390143550255,41.19061466163407,2804073,115501490.42609224,5000000,500.0,202002,0.1454684484736632,4
600018.SH,20200331,42.25435131901413,42.25435131901413,39.6867092942114,42.00650510010492,5659860,237750937.9558798,5000000,500.0,202003,0.0198076781609861,4
600018.SH,20200430,46.12401200636451,48.53961597131646,43.48355559212805,46.00195998945664,6066732,279081562.7307563,5000000,500.0,202004,0.0951151465667099,4
600018.SH,20200529,44.68928361827091,45.78641615205023,44.05131688346763,44.83737851175757,5668697,254169513.05746457,5000000,500.0,202005,-0.0253159099735315,4
600018.SH,20200630,42.70912872893929,43.25036368020258,42.26990859375996,42.7804825195676,3257855,139372608.8787859,5000000,500.0,202006,-0.0458745818882027,4
600018.SH,20200731,43.279898237126254,44.74130590907297,42.7207862682242,43.1430339091517,3910813,168724337.87135127,5000000,500.0,202007,0.0084746914534745,4
600018.SH,20200831,45.63837935165691,46.67639112725083,44.07659538909952,45.37125367960503,4636614,210368990.00840825,5000000,500.0,202008,0.0516472665122578,4
600018.SH,20200930,43.646358359960246,44.875091313795146,42.81892505410698,44.46407385084405,5103480,226921511.6163056,5000000,500.0,202009,-0.0199945947089571,4
600018.SH,20201030,44.95307922188067,44.978937442407066,43.57133128444544,44.91824788705882,2305123,103542086.32416068,5000000,500.0,202010,0.0102144045041465,4
600018.SH,20201130,42.297740275214,43.73059987504132,39.92129239667593,42.458936691050994,6749275,286567039.9354932,5000000,500.0,202011,-0.0547508264835139,4
600018.SH,20201231,41.98874964747882,41.98874964747882,39.82746949321093,41.641311932925184,3828419,159420389.7889375,5000000,500.0,202012,-0.0192568354708265,4
600018.SH,20210129,41.18727456368872,43.65123959110516,39.96672057458853,41.40156345564313,5550385,229794616.7807498,5000000,500.0,202101,-0.0057574669517674,4
600018.SH,20210226,42.08840865351412,44.5348986271956,40.67976789014799,42.06094380320008,5800095,243957469.84822175,5000000,500.0,202102,0.015926460078335,4
600018.SH,20210331,42.49836604271201,43.98762775289689,41.03019250486096,42.95804593869799,3830856,164566088.03253683,5000000,500.0,202103,0.021328625902818,4
600018.SH,20210430,40.37283218105042,42.349936711753,39.51109985720696,40.414305567065696,2356311,95228672.76503812,5000000,500.0,202104,-0.0592145270122915,4
600018.SH,20210531,38.89298162170345,40.7273988503572,37.422175010810726,39.03867423614185,4303857,168016871.38193876,5000000,500.0,202105,-0.0340382275934705,4
600018.SH,20210630,39.83777964543484,41.9319632639817,37.598913455561984,39.716818290236446,6189145,245813147.33692545,5000000,500.0,202106,0.0173710830955107,4
600018.SH,20210730,39.329725444177896,41.05303568548576,37.99296682744091,39.20811068727557,3804767,149177725.67529342,5000000,500.0,202107,-0.0128083674589293,4
600018.SH,20210831,39.035147532218815,39.84339994141518,39.035147532218815,39.681517543989045,2839000,112655828.3073849,5000000,500.0,202108,0.0120742073110682,4
600018.SH,20210930,41.620426719967774,41.620426719967774,40.66715097931591,40.80037031599459,2100750,85711377.94132563,5000000,500.0,202109,0.0281958161193114,4
600018.SH,20211029,39.40959356871848,42.62684290648154,39.25239166550361,40.83265088176682,5116760,208930874.7257892,5000000,500.0,202110,0.0007911831564815,4
600018.SH,20211130,40.94803111507912,43.35042964238563,39.64362651243463,41.22489068075052,4425222,182429293.18805215,5000000,500.0,202111,0.0096060331747613,4
600018.SH,20211231,38.421523739320726,40.39058591407783,37.77388900685436,38.474276034819965,3364588,129450087.45544285,5000000,500.0,202112,-0.0667221816846422,4
600018.SH,20220131,35.27378367224793,35.86333855518445,34.48837103478292,35.28952996460695,3340391,117880828.28800336,5000000,500.0,202201,-0.0827759843312129,4
600018.SH,20220228,36.65382500838559,37.786284635162446,36.12949902060903,36.439466299100665,3302556,120343378.06289268,5000000,500.0,202202,0.0325857651163681,4
600018.SH,20220331,33.80490940739699,34.44181012664127,32.22615176814322,34.20474673416227,3490059,119376584.18228364,5000000,500.0,202203,-0.0613269016235166,4
600018.SH,20220429,33.62244504916218,35.44813632753264,33.15373633888826,33.74493137381457,5780790,195072361.8364336,5000000,500.0,202204,-0.0134430277739332,4
600018.SH,20220531,34.27660327278033,35.52083084691616,34.27660327278033,34.79959517368272,3557191,123788806.7554676,5000000,500.0,202205,0.0312539915457212,4
600018.SH,20220630,32.117257636541346,33.116495358252315,30.542342175386132,32.218910928222215,7537414,242847270.2951351,5000000,500.0,202206,-0.074158455941239,4
600018.SH,20220729,32.06570156767126,33.33367889264141,30.790894766134475,32.65120769281934,5723027,186863743.2086128,5000000,500.0,202207,0.0134174853259381,4
600018.SH,20220831,34.36437669717369,35.12119118440681,33.231480724266234,34.197550417950985,5854612,200213389.04754084,5000000,500.0,202208,0.0473594342873791,4
600018.SH,20220930,34.44373711636289,34.56317962762066,33.855761083801546,34.189035527972884,4883386,166958257.4508054,5000000,500.0,202209,-0.0002489912252203,4
600018.SH,20221031,35.990923230964064,36.135249813519984,33.941943440768405,35.938295668929534,4533178,162914691.28388664,5000000,500.0,202210,0.0511643605601401,4
600018.SH,20221130,37.00479878995214,37.185057987224575,35.7027262356935,36.44637418516188,4925302,179509399.66692618,5000000,500.0,202211,0.0141375239636531,4
600018.SH,20221230,38.53780149001548,38.78108266994233,37.24102481154405,38.73772526593822,3428767,132822634.04691516,5000000,500.0,202212,0.0628691092599602,4
600018.SH,20230131,39.84550764678464,41.26675444192311,39.27294067948919,39.464861374631866,3835241,151357254.4033045,5000000,500.0,202301,0.0187707487649775,4
600018.SH,20230228,39.02037754338679,40.9409529337734,38.55554013979151,38.99907043563087,4709079,183649703.60795015,5000000,500.0,202302,-0.0118026751590316,4
600018.SH,20230331,39.31977994157242,40.56478026067272,37.12253022171277,39.42243896095607,4748851,187211288.6821752,5000000,500.0,202303,0.0108558619627607,4
600018.SH,20230428,38.0364189068049,39.87706425461631,37.86003951181763,38.70455010074728,3328842,128841331.96647176,5000000,500.0,202304,-0.0182101584561975,4
600018.SH,20230531,40.031827686337465,41.56708982699842,37.59957185160916,39.99876290199038,6771603,270855742.8634068,5000000,500.0,202305,0.0334382597879137,4
